1,1,1.6884,2.26193,1.70453,1.98354,1,1,
1.33333,1.6884,2.77586,3.36705,2.8253,2.23346,1.55836,1,
1.33333,2.2728,3.80622,3.91761,3.21286,2.11491,1.52873,1,
1.33333,3.41953,4.67069,4.58234,2.70213,2.24346,1.56086,1,
2.27584,3.8814,6.5718,5.90704,4.88209,2.9088,1.7272,1.41597,
2.28655,5.32493,8.29224,8.78874,6.99613,5.53665,4.07507,1.67273,
2.35606,5.62509,9.15275,10.5978,10.1522,8.47553,5.20242,2.71879,
2.09431,4.53137,8.833,11.0507,11.1342,9.35835,5.75417,3.11824,
1,3.88336,7.24564,10.3298,10.5165,8.37032,4.53112,2.13278,
1,2.53775,6.3191,9.03195,8.61403,5.24609,3.4443,1,
1,2.79946,5.32909,7.18872,5.8503,3.7741,1,1,
1.49233,1.985,3.9877,4.69372,3.63601,1.909,1,1
